entity_name,names_merged,n_vendor_ids,hv_txn,hv_exposure,n_flagged,flagged_exposure,n_tier1,usd_tier1,n_tier2,top_tier,max_risk_score,first_year,last_year,n_agencies,agencies,top_markers,verify_verdict,overtaker_interest,public_context,entity_key
NAPHCARE INC,1,1,167,1014547850,167,1014547850,88,981916190,76,1,27.0,2023,2025,1,DEPT OF CORRECTIONS,sole_source|whole_dollar|peer_outlier|true_duplicate|new_vendor_large,mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation.",NAPHCARE INC
PULICE - FNF - FLATIRON JOINT VENTURE,1,1,101,522433764,101,522433764,43,472512963,17,1,11.7,2021,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|peer_outlier|whole_dollar|new_vendor_large,explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor).",PULICE - FNF - FLATIRON JOINT VENTURE
CONNECT 202 PARTNERS,1,2,161,991209174,138,861499683,21,310225319,32,1,9.1,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|peer_outlier|no_contract_named|whole_dollar|true_duplicate,explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term.",CONNECT 202 PARTNERS
KIEWIT-FANN JOINT VENTURE,1,1,105,384902882,97,326230169,42,260813673,9,1,16.9,2023,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|new_vendor_large|peer_outlier|whole_dollar,explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component.",KIEWIT-FANN JOINT VENTURE
SECURITY TITLE AGENCY INC,1,2,453,409745313,439,392032498,42,210593628,184,1,14.3,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar|no_contract_named|peer_outlier|true_duplicate,explained_benign,2,"Security Title Agency, Inc. is one of Fidelity National Financial's largest Arizona title brands (50+ years in the state) providing title insurance and escrow/closing services; it has a dedicated escrow manager for ADOT government/right-of-way projects, matching the highway-acquisition disbursements seen in the data.",SECURITY TITLE AGENCY INC
ASHBRITT INC,1,1,15,194730663,15,194730663,15,194730663,0,1,27.0,2023,2023,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,new_vendor_dominant|sole_source|short_tenure_vendor|peer_outlier|vendor_dependency,genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny.",ASHBRITT INC
PUBLIC CONSULTING GROUP.INC,3,7,854,658146644,59,110123512,26,92995007,10,1,9.0,2016,2025,4,INDUSTRIAL COMMISSION|DEPT OF CHILD SAFETY|AHCCCS|DEPT OF ECONOMIC SECURITY,offcontract|peer_outlier|no_contract_named|whole_dollar,explained_benign,2,Public Consulting Group (PCG) is a private management-consulting firm that AHCCCS contracts as third-party administrator of Arizona's Medicaid School-Based Claiming Program (Direct Service + Medicaid Administrative Claiming); the most recent contract runs July 2022-June 2025 and PCG has served in this role for 11+ years.,PUBLIC CONSULTING GROUP.INC
FNF CONSTRUCTION INC,1,2,1256,1113758217,852,831450022,17,79160677,30,1,7.8,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar|peer_outlier|round_100k,explained_benign,2,,FNF CONSTRUCTION INC
COFFMAN AMES JOINT VENTURE,1,1,69,213339450,44,181551737,10,75091589,12,1,9.1,2019,2023,1,DEPT OF TRANSPORTATION,offcontract|peer_outlier|no_contract_named|whole_dollar,explained_benign,2,"Coffman Ames Joint Venture (involving Ames Construction, a major national heavy-civil contractor) was ADOT's design-build prime contractor for the approximately $185M Loop 101 (Pima Freeway) widening project from I-17 to Pima Road, which began in February 2019. Ames is also part of the Connect 202 Partners JV on the Loop 202 South Mountain Freeway.",COFFMAN AMES JOINT VENTURE
VIZIENT INC,1,1,29,74398854,29,74398854,19,72080770,10,1,12.0,2021,2021,1,DEPT OF HEALTH SERVICES,new_vendor_large|short_tenure_vendor|peer_outlier,explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare.",VIZIENT INC
